,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
291,0.057,0.047,0.045,0.046,0.045,0.024,0.027,0.021,0.019,0.021,0,0.003,0.008,-0.002,-0.003,-0.001,-0.002,0,-0.001,-0.007,0.073,0.07,0.068,0.067,0.07,0.034,0.034,0.03,0.031,0.027
292,0.046,0.037,0.035,0.036,0.035,0.019,0.023,0.016,0.014,0.017,0.001,0.004,0.006,-0.001,-0.002,0,-0.001,0.001,-0.002,-0.007,0.067,0.063,0.062,0.06,0.064,0.032,0.031,0.026,0.027,0.024
293,0.032,0.022,0.019,0.022,0.02,0.012,0.014,0.009,0.007,0.009,0.001,0.004,0.005,-0.002,-0.002,0,0,0.001,-0.002,-0.008,0.059,0.054,0.053,0.052,0.055,0.028,0.027,0.023,0.023,0.021
294,0.023,0.01,0.008,0.011,0.009,0.006,0.008,0.004,0.001,0.003,0.002,0.003,0.005,-0.002,-0.001,0.001,0.001,0.002,0,-0.007,0.051,0.046,0.045,0.044,0.046,0.024,0.024,0.019,0.02,0.017
295,0.019,0.004,0.003,0.005,0.003,0.002,0.003,0,-0.002,-0.001,0.002,0.002,0.005,-0.003,-0.002,0.001,0.001,0.001,-0.001,-0.008,0.042,0.039,0.037,0.035,0.036,0.02,0.021,0.013,0.015,0.012
296,0.015,0.001,0.001,0.001,0.001,0,0.001,-0.002,-0.004,-0.002,0.001,0.002,0.004,-0.003,-0.002,0,0.001,0.001,-0.001,-0.008,0.034,0.031,0.029,0.028,0.028,0.016,0.017,0.009,0.011,0.008
297,0.012,0,-0.002,0,-0.001,-0.001,0.001,-0.003,-0.005,-0.003,0,0.002,0.003,-0.003,-0.002,-0.001,0,0.001,-0.001,-0.008,0.027,0.024,0.022,0.021,0.021,0.012,0.013,0.005,0.007,0.005
298,0.009,-0.001,-0.002,-0.001,-0.002,-0.001,0.002,-0.003,-0.005,-0.004,0,0.002,0.003,-0.003,-0.003,-0.001,-0.002,0,-0.001,-0.008,0.021,0.018,0.016,0.016,0.015,0.01,0.01,0.005,0.004,0.002
299,0.007,0,-0.002,-0.001,-0.003,-0.001,0.001,-0.002,-0.005,-0.004,0,0.002,0.004,-0.003,-0.002,-0.001,-0.002,0,-0.002,-0.008,0.017,0.014,0.012,0.012,0.011,0.009,0.008,0.004,0.003,0.001
300,0.007,-0.001,-0.002,-0.001,-0.003,0,0.002,-0.002,-0.005,-0.004,0.001,0.003,0.005,-0.003,-0.002,0,-0.001,0,-0.002,-0.008,0.014,0.012,0.009,0.009,0.008,0.007,0.007,0.004,0.002,0
