,0,1,2,3,4
738,0.016,0.02,0.008,0.006,0.006
739,0.011,0.021,0.009,0.002,0.001
740,0.002,0.012,0,-0.005,-0.001
741,-0.001,0.001,-0.008,-0.011,0
742,0.008,0.004,-0.008,-0.005,0.003
743,0.019,0.008,-0.005,0.001,0.004
744,0.017,0.004,-0.006,0.005,0.004
745,0.005,-0.003,-0.003,0.004,0.003
746,0.003,0.005,0.002,0.002,0.004
747,0.006,0.016,0.004,-0.001,0.005
748,0.003,0.009,0,-0.001,0
749,0,0.001,-0.005,-0.001,-0.002
750,0,0,0,0,0
751,0,0.01,0.002,-0.002,0
752,-0.005,0.005,-0.001,-0.005,-0.007
753,-0.005,-0.001,-0.011,-0.002,-0.004
754,0.002,-0.005,-0.01,0.004,0.003
755,0.01,0.007,-0.002,0.004,0.006
756,0.018,0.016,0.001,0.005,0.008
757,0.016,0.011,0.002,-0.002,0.01
758,0.01,-0.001,-0.006,-0.007,0.004
759,0.002,0,-0.007,-0.006,0
760,0,0.01,0.003,0.002,0
761,0.002,0.014,0.006,0.004,0.005
762,0.002,0.009,-0.001,0.003,0.004
763,0.002,0.007,-0.005,0.002,0.005
764,0.003,0.008,0.002,0.002,0.008
765,0.01,0.016,0.007,0.003,0.012
766,0.016,0.021,0.006,0.004,0.012
767,0.019,0.024,0.012,0.006,0.01
768,0.02,0.019,0.013,0.01,0.013
769,0.022,0.012,0.009,0.011,0.017
770,0.021,0.002,0.002,0.001,0.012
771,0.022,0.005,-0.003,-0.003,0.011
772,0.022,0.005,-0.005,0.001,0.015
773,0.013,0.006,-0.006,0.01,0.019
774,0.009,0.01,0.007,0.011,0.013
775,0.013,0.005,0.005,0.006,0.005
776,0.025,0.008,0.009,0.005,0.006
777,0.026,0.009,0.003,0.002,0.005
778,0.017,0.017,0.003,-0.001,0.006
779,0.011,0.008,0.006,0,0.013
780,0.01,0.013,0.016,0.003,0.02
781,0.008,0.014,0.014,-0.001,0.014
782,-0.003,0.005,0.001,-0.01,0
783,-0.012,-0.011,-0.009,-0.008,-0.002
784,-0.007,-0.006,-0.015,-0.005,-0.002
785,0,0.001,-0.02,-0.012,-0.006
786,0,-0.002,-0.029,-0.019,-0.018
787,-0.007,-0.01,-0.023,-0.013,-0.018
788,0.005,0.005,-0.011,0.005,-0.008
789,0.016,0.016,0.006,0.009,-0.005
790,0.013,0.019,0.01,0.007,0
791,-0.001,0.002,0.008,0.004,0.01
792,-0.007,-0.005,0,0.009,0.009
793,0.005,0.01,-0.009,0.007,0.004
794,0.014,0.024,-0.002,-0.001,0.007
795,0.016,0.024,-0.001,-0.007,0.009
796,0,0.011,0.01,-0.003,0.006
797,0.005,0.02,0.011,0.009,0.005
798,0.002,0.026,0.011,0.017,0.008
799,0.011,0.015,-0.003,0.013,0.018
800,0.012,-0.002,-0.007,0.002,0.016
801,0.018,-0.002,0.003,-0.003,0.013
