,0,1,2,3,4,5,6
600,-0.02,-0.006,-0.005,-0.005,-0.01,-0.003,-0.01
601,-0.014,-0.005,-0.002,-0.005,-0.009,-0.006,-0.004
602,-0.011,0,-0.002,-0.003,-0.003,-0.004,-0.001
603,-0.011,0.004,-0.001,-0.001,0.002,0.001,0.003
604,-0.013,0,-0.001,0,0.002,0.003,-0.002
605,-0.017,-0.005,-0.002,0.002,-0.004,0.004,-0.009
606,-0.01,-0.003,0,0.007,-0.001,0.006,-0.007
607,0,0.007,0.003,0.008,0.005,0.007,0.003
608,0.004,0.014,0.007,0.008,0.008,0.003,0.008
609,0.004,0.017,0.011,0.008,0.009,0.001,0.008
610,0.001,0.01,0.005,0.004,0.013,-0.003,0.005
611,-0.001,0.001,-0.003,0.003,0.02,-0.004,0.001
612,-0.003,0.002,-0.009,0.002,0.018,-0.004,-0.002
613,-0.005,0.005,-0.008,0.002,0.009,0,0
614,-0.009,0.009,-0.005,0.003,0.002,0.001,0.006
615,-0.009,0.006,-0.002,0.002,0,0,0.01
616,-0.007,0.007,-0.002,0.003,0.001,0,0.011
617,-0.006,0.007,-0.003,0.004,0.004,0.001,0.007
618,-0.008,0.007,0.001,0.005,0.009,0,0.003
619,-0.007,0.008,0.004,0.004,0.012,0,0.004
620,-0.002,0.011,0.003,0.004,0.015,0,0.005
621,0.006,0.014,0.002,0.005,0.017,0.003,0.007
622,0.012,0.012,0.003,0.007,0.024,0.005,0.01
623,0.01,0.006,0,0.005,0.022,0,0.01
624,0.003,0,-0.004,0,0.012,-0.009,0.003
625,-0.003,-0.001,-0.005,-0.002,0.005,-0.014,-0.001
626,0,0.006,-0.002,-0.001,0.011,-0.01,0.002
627,0.004,0.015,0.005,0.003,0.019,-0.001,0.011
628,0.013,0.022,0.01,0.008,0.022,0.005,0.019
629,0.013,0.021,0.01,0.011,0.019,0.005,0.021
630,0.004,0.018,0.008,0.012,0.019,0.004,0.017
631,-0.008,0.013,0.004,0.01,0.019,0.005,0.013
632,-0.013,0.014,0.004,0.012,0.016,0.01,0.013
633,-0.006,0.02,0.011,0.017,0.011,0.018,0.02
634,0.002,0.023,0.014,0.018,0.004,0.019,0.022
635,0.005,0.019,0.014,0.015,0.002,0.015,0.014
636,0.002,0.012,0.008,0.009,0.005,0.007,0.008
637,-0.003,0.009,0.004,0.009,0.006,0.006,0.006
638,-0.008,0.008,0.004,0.011,0.002,0.009,0.01
639,-0.01,0.007,0.004,0.011,0.002,0.012,0.013
640,-0.009,0.007,0.004,0.007,0.01,0.01,0.014
641,-0.005,0.009,0.004,0.007,0.017,0.011,0.018
642,-0.002,0.013,0.004,0.009,0.019,0.013,0.022
643,0.006,0.021,0.004,0.014,0.022,0.014,0.026
644,0.015,0.027,0.005,0.016,0.029,0.013,0.026
645,0.015,0.03,0.009,0.016,0.031,0.013,0.028
646,0.008,0.028,0.011,0.015,0.026,0.015,0.027
647,0.003,0.03,0.009,0.014,0.022,0.014,0.029
648,0.01,0.029,0.006,0.012,0.019,0.012,0.025
649,0.017,0.028,0.003,0.01,0.017,0.01,0.025
650,0.016,0.023,0.003,0.011,0.017,0.013,0.024
651,0.002,0.014,0.001,0.009,0.013,0.009,0.014
652,-0.009,0.007,-0.001,0.008,0.004,0.005,0.004
653,-0.013,0.004,0.002,0.007,-0.001,0.001,0.002
654,-0.007,0.008,0.008,0.008,0.003,0.002,0.01
655,-0.008,0.012,0.011,0.007,0.003,0.001,0.013
656,-0.013,0.007,0.004,0.004,-0.004,0.002,0.01
657,-0.019,0.001,-0.005,0.007,-0.012,0.006,0.002
