,0,1,2,3,4,5,6,7,8,9,10,11
440,0.001,0.004,0.002,0.002,0.006,0.005,0.003,0.002,-0.001,-0.001,-0.001,-0.001
441,-0.001,0.004,0.002,0.001,0.004,0.004,0.002,0,-0.001,-0.001,-0.001,-0.001
442,-0.001,0.004,0.001,0.001,0.003,0.002,0.001,0,-0.002,-0.001,-0.001,-0.002
443,0,0.005,0.002,0.002,0.003,0.003,0.002,0.001,-0.001,0,0,-0.001
444,0.001,0.005,0.003,0.003,0.003,0.004,0.001,0.001,0.001,0.001,0.002,0
445,0.002,0.006,0.005,0.005,0.005,0.006,0.004,0.003,0.002,0.003,0.003,0.002
446,0.002,0.006,0.005,0.004,0.005,0.006,0.005,0.004,0.003,0.003,0.003,0.002
447,0.001,0.005,0.002,0.002,0.005,0.005,0.005,0.005,0,0,0.001,-0.001
448,0,0.004,0.001,0.001,0.004,0.003,0.003,0.003,-0.002,-0.001,-0.001,-0.002
449,0,0.005,0.002,0.002,0.003,0.003,0.002,0.003,-0.001,-0.001,0,-0.001
450,0.002,0.007,0.004,0.004,0.003,0.004,0.002,0.003,0.002,0.001,0.001,0.001
451,0.004,0.009,0.006,0.006,0.003,0.004,0.002,0.002,0.003,0.002,0.002,0.002
452,0.003,0.009,0.006,0.005,0.002,0.003,0.002,0.002,0.002,0.001,0.002,0.001
453,0.002,0.008,0.004,0.005,0.003,0.004,0.002,0.002,0.001,0.001,0.001,0
454,0.001,0.006,0.003,0.003,0.005,0.003,0.002,0.003,0,-0.001,0,-0.001
455,0,0.005,0.002,0.003,0.005,0.003,0.001,0.002,0,-0.001,-0.001,-0.002
456,-0.001,0.004,0.001,0.001,0.004,0.002,0,0,-0.002,-0.002,-0.002,-0.003
457,-0.001,0.003,0.001,0.001,0.002,0.001,-0.001,-0.001,-0.002,-0.002,-0.001,-0.002
458,-0.001,0.004,0.001,0.001,0.002,0.001,0.001,0,-0.001,-0.001,-0.001,-0.001
459,-0.001,0.005,0.002,0.002,0.002,0.001,0.001,-0.001,-0.001,0,-0.001,-0.001
460,-0.001,0.005,0.001,0.002,0.002,0.003,0.001,0,-0.001,-0.001,-0.001,-0.002
461,-0.001,0.004,0,0,0.002,0.002,0.001,-0.001,-0.002,-0.003,-0.002,-0.003
462,-0.001,0.003,0.001,0.001,0.002,0.002,0,-0.001,-0.002,-0.002,-0.001,-0.003
463,0,0.004,0.002,0.002,0.003,0.003,0.001,0,-0.001,-0.002,-0.001,-0.002
464,0,0.004,0.002,0.002,0.005,0.005,0.002,0.001,0,-0.002,-0.002,-0.002
465,-0.001,0.004,0.002,0.002,0.006,0.005,0.002,0.001,-0.001,-0.002,-0.002,-0.003
466,-0.001,0.005,0.001,0.002,0.005,0.004,0.002,0.001,-0.002,-0.002,-0.002,-0.002
467,0,0.005,0.002,0.002,0.003,0.003,0.001,0.001,-0.001,-0.001,-0.001,-0.001
468,0,0.004,0.002,0.002,0.001,0.002,0,-0.001,-0.001,-0.001,0,-0.001
469,-0.001,0.004,0.002,0.001,0.001,0.002,0,-0.001,0,-0.001,-0.001,-0.001
470,-0.001,0.004,0.002,0.001,0.003,0.002,0.001,0,0,0,0,-0.001
471,0,0.004,0.003,0.002,0.004,0.004,0.003,0.002,0,0.001,0.001,0
472,0.002,0.007,0.005,0.004,0.006,0.006,0.004,0.003,0.002,0.003,0.002,0.002
473,0.003,0.008,0.006,0.006,0.007,0.007,0.004,0.003,0.002,0.003,0.003,0.003
474,0.002,0.007,0.005,0.004,0.005,0.005,0.002,0,0.001,0.002,0.001,0.001
475,0.001,0.006,0.003,0.002,0.004,0.004,0.001,-0.001,-0.001,0,-0.001,-0.001
476,-0.001,0.004,0.002,0,0.003,0.002,0,-0.002,-0.002,-0.001,-0.002,-0.002
477,-0.002,0.004,0.002,0.001,0.002,0.001,-0.001,-0.002,0,0,0,-0.001
478,-0.002,0.003,0.001,0.001,0.001,-0.001,-0.002,-0.002,0,0.001,0,0
479,-0.001,0.003,0,0.002,0.002,0,-0.002,-0.002,-0.001,0,-0.001,-0.001
480,-0.002,0.002,0,0.001,0.002,0.002,-0.001,-0.001,-0.003,-0.002,-0.003,-0.003
481,-0.002,0.002,-0.001,0,0.003,0.004,0,0,-0.004,-0.003,-0.004,-0.004
482,-0.002,0.002,-0.001,0,0.003,0.004,0.001,0.002,-0.003,-0.002,-0.002,-0.003
483,-0.001,0.002,0,0,0.002,0.003,0,0.001,-0.003,-0.002,-0.002,-0.003
484,-0.004,0,-0.003,-0.004,0,-0.001,-0.003,-0.002,-0.006,-0.005,-0.005,-0.006
485,-0.008,-0.003,-0.006,-0.007,-0.004,-0.005,-0.007,-0.006,-0.008,-0.008,-0.008,-0.009
486,-0.007,-0.003,-0.006,-0.006,-0.002,-0.003,-0.006,-0.004,-0.008,-0.007,-0.007,-0.008
487,-0.005,-0.001,-0.003,-0.003,0.002,0.002,-0.001,0,-0.006,-0.005,-0.005,-0.005
488,-0.005,0,-0.003,-0.003,0.003,0.003,0,0,-0.006,-0.005,-0.005,-0.005
489,-0.006,-0.003,-0.005,-0.005,0,-0.001,-0.004,-0.003,-0.008,-0.007,-0.006,-0.006
490,-0.006,-0.002,-0.005,-0.005,-0.002,-0.003,-0.007,-0.005,-0.007,-0.007,-0.006,-0.007
491,-0.006,0,-0.004,-0.004,-0.003,-0.003,-0.008,-0.006,-0.007,-0.007,-0.007,-0.007
492,-0.009,-0.003,-0.007,-0.007,-0.007,-0.007,-0.011,-0.009,-0.01,-0.01,-0.01,-0.011
493,-0.011,-0.006,-0.01,-0.009,-0.01,-0.01,-0.014,-0.01,-0.013,-0.012,-0.011,-0.012
494,-0.01,-0.006,-0.009,-0.009,-0.007,-0.008,-0.013,-0.008,-0.011,-0.01,-0.01,-0.011
495,-0.007,-0.003,-0.006,-0.005,-0.004,-0.004,-0.009,-0.006,-0.007,-0.006,-0.007,-0.007
