,0,0,0,1,1,1
501,-0.009,-0.002,-0.01,-0.007,-0.011,-0.009
502,-0.011,-0.005,-0.013,-0.009,-0.013,-0.012
503,-0.012,-0.005,-0.013,-0.01,-0.013,-0.014
504,-0.013,-0.006,-0.014,-0.013,-0.014,-0.013
505,-0.015,-0.009,-0.016,-0.015,-0.017,-0.014
506,-0.017,-0.012,-0.018,-0.015,-0.019,-0.016
507,-0.018,-0.011,-0.019,-0.015,-0.019,-0.015
508,-0.016,-0.007,-0.019,-0.014,-0.018,-0.012
509,-0.015,-0.008,-0.016,-0.014,-0.017,-0.013
510,-0.015,-0.011,-0.015,-0.015,-0.016,-0.016
511,-0.017,-0.016,-0.018,-0.017,-0.018,-0.017
512,-0.017,-0.013,-0.018,-0.018,-0.018,-0.015
513,-0.017,-0.011,-0.018,-0.017,-0.017,-0.013
514,-0.015,-0.014,-0.015,-0.015,-0.015,-0.013
515,-0.015,-0.017,-0.015,-0.016,-0.015,-0.015
516,-0.015,-0.017,-0.016,-0.017,-0.017,-0.015
517,-0.017,-0.015,-0.018,-0.016,-0.019,-0.014
518,-0.019,-0.014,-0.02,-0.015,-0.02,-0.017
519,-0.019,-0.016,-0.022,-0.016,-0.022,-0.02
520,-0.021,-0.018,-0.023,-0.021,-0.024,-0.023
521,-0.021,-0.016,-0.023,-0.021,-0.025,-0.022
522,-0.02,-0.012,-0.021,-0.019,-0.023,-0.018
523,-0.017,-0.01,-0.019,-0.016,-0.019,-0.013
524,-0.016,-0.008,-0.018,-0.014,-0.018,-0.01
525,-0.019,-0.011,-0.021,-0.017,-0.021,-0.014
526,-0.022,-0.012,-0.024,-0.019,-0.025,-0.018
527,-0.022,-0.011,-0.023,-0.019,-0.024,-0.017
528,-0.021,-0.01,-0.021,-0.019,-0.023,-0.015
529,-0.024,-0.013,-0.024,-0.021,-0.025,-0.017
530,-0.027,-0.018,-0.028,-0.025,-0.029,-0.023
531,-0.029,-0.021,-0.03,-0.026,-0.031,-0.026
532,-0.026,-0.019,-0.027,-0.023,-0.028,-0.021
533,-0.025,-0.015,-0.026,-0.021,-0.027,-0.018
534,-0.027,-0.017,-0.027,-0.022,-0.027,-0.021
535,-0.028,-0.022,-0.029,-0.025,-0.029,-0.026
536,-0.029,-0.025,-0.031,-0.029,-0.032,-0.029
537,-0.028,-0.023,-0.031,-0.028,-0.031,-0.029
538,-0.028,-0.019,-0.03,-0.028,-0.03,-0.028
539,-0.027,-0.019,-0.028,-0.027,-0.028,-0.028
540,-0.026,-0.017,-0.027,-0.025,-0.027,-0.026
541,-0.025,-0.015,-0.026,-0.024,-0.027,-0.022
542,-0.025,-0.019,-0.027,-0.024,-0.028,-0.022
543,-0.027,-0.024,-0.03,-0.026,-0.029,-0.024
544,-0.028,-0.026,-0.03,-0.029,-0.03,-0.027
545,-0.027,-0.022,-0.029,-0.028,-0.029,-0.025
546,-0.026,-0.021,-0.027,-0.024,-0.027,-0.025
547,-0.029,-0.024,-0.029,-0.025,-0.03,-0.029
548,-0.032,-0.026,-0.033,-0.029,-0.033,-0.032
549,-0.034,-0.027,-0.035,-0.033,-0.036,-0.034
550,-0.033,-0.027,-0.035,-0.034,-0.036,-0.032
551,-0.033,-0.027,-0.035,-0.032,-0.035,-0.031
552,-0.031,-0.024,-0.033,-0.029,-0.033,-0.028
553,-0.029,-0.021,-0.032,-0.027,-0.032,-0.027
554,-0.028,-0.02,-0.029,-0.027,-0.03,-0.026
555,-0.028,-0.024,-0.029,-0.027,-0.03,-0.03
556,-0.027,-0.028,-0.029,-0.027,-0.03,-0.032
557,-0.027,-0.027,-0.029,-0.026,-0.03,-0.029
558,-0.029,-0.026,-0.03,-0.027,-0.031,-0.028
559,-0.033,-0.026,-0.034,-0.031,-0.034,-0.029
560,-0.036,-0.027,-0.038,-0.036,-0.038,-0.031
561,-0.035,-0.023,-0.036,-0.032,-0.036,-0.028
562,-0.033,-0.021,-0.033,-0.029,-0.035,-0.027
563,-0.029,-0.022,-0.032,-0.026,-0.032,-0.026
564,-0.026,-0.025,-0.03,-0.025,-0.028,-0.028
565,-0.025,-0.026,-0.028,-0.025,-0.026,-0.029
566,-0.024,-0.021,-0.027,-0.023,-0.027,-0.026
567,-0.026,-0.021,-0.03,-0.027,-0.03,-0.027
568,-0.029,-0.023,-0.033,-0.03,-0.033,-0.03
569,-0.031,-0.024,-0.033,-0.031,-0.033,-0.032
570,-0.03,-0.023,-0.033,-0.031,-0.031,-0.03
571,-0.028,-0.02,-0.03,-0.029,-0.029,-0.025
572,-0.028,-0.019,-0.03,-0.028,-0.029,-0.025
573,-0.029,-0.02,-0.031,-0.027,-0.03,-0.026
574,-0.028,-0.021,-0.03,-0.026,-0.029,-0.025
575,-0.027,-0.019,-0.027,-0.025,-0.026,-0.024
576,-0.026,-0.015,-0.025,-0.023,-0.025,-0.023
577,-0.027,-0.013,-0.027,-0.022,-0.026,-0.022
578,-0.027,-0.015,-0.028,-0.022,-0.028,-0.024
579,-0.027,-0.016,-0.029,-0.024,-0.03,-0.024
580,-0.024,-0.012,-0.026,-0.02,-0.026,-0.019
581,-0.018,-0.005,-0.02,-0.013,-0.02,-0.012
582,-0.017,-0.004,-0.018,-0.012,-0.019,-0.013
583,-0.019,-0.01,-0.021,-0.018,-0.022,-0.019
584,-0.026,-0.016,-0.028,-0.027,-0.028,-0.021
585,-0.03,-0.022,-0.033,-0.03,-0.032,-0.026
586,-0.029,-0.024,-0.031,-0.026,-0.029,-0.029
587,-0.025,-0.023,-0.026,-0.022,-0.024,-0.029
588,-0.022,-0.017,-0.024,-0.02,-0.021,-0.022
589,-0.021,-0.007,-0.022,-0.017,-0.021,-0.015
590,-0.019,0.001,-0.022,-0.017,-0.022,-0.012
591,-0.017,0.0,-0.02,-0.016,-0.02,-0.015
592,-0.016,-0.005,-0.019,-0.017,-0.018,-0.017
593,-0.016,-0.008,-0.019,-0.016,-0.018,-0.015
594,-0.017,-0.004,-0.019,-0.013,-0.019,-0.012
595,-0.014,0.003,-0.016,-0.009,-0.016,-0.007
596,-0.013,0.005,-0.015,-0.01,-0.014,-0.007
597,-0.015,0.003,-0.016,-0.014,-0.015,-0.005
598,-0.02,-0.002,-0.021,-0.02,-0.021,-0.005
599,-0.022,-0.002,-0.024,-0.023,-0.024,-0.007
600,-0.021,0.001,-0.023,-0.021,-0.023,-0.011
601,-0.019,0.002,-0.022,-0.015,-0.022,-0.015
602,-0.014,0.0,-0.018,-0.01,-0.018,-0.012
603,-0.01,-0.002,-0.014,-0.008,-0.014,-0.007
604,-0.009,0.0,-0.011,-0.008,-0.01,-0.002
605,-0.011,0.002,-0.012,-0.01,-0.01,-0.002
606,-0.011,0.005,-0.011,-0.008,-0.01,-0.004
607,-0.009,0.004,-0.009,-0.007,-0.01,-0.006
608,-0.005,0.006,-0.004,-0.001,-0.005,-0.002
609,-0.003,0.008,-0.002,0.001,-0.003,0.003
610,-0.008,0.008,-0.007,-0.003,-0.007,0.006
611,-0.013,0.008,-0.012,-0.011,-0.012,0.004
612,-0.013,0.009,-0.012,-0.011,-0.013,0.0
613,-0.007,0.012,-0.007,-0.006,-0.008,0.001
614,-0.004,0.018,-0.005,0.0,-0.004,0.009
615,-0.004,0.02,-0.005,0.002,-0.005,0.011
616,-0.006,0.019,-0.005,0.001,-0.007,0.005
617,-0.007,0.011,-0.006,-0.002,-0.007,-0.001
618,-0.005,0.007,-0.006,-0.007,-0.005,-0.003
619,-0.004,0.009,-0.006,-0.007,-0.005,0.0
620,-0.003,0.014,-0.005,-0.005,-0.004,0.001
621,-0.002,0.019,-0.003,-0.003,-0.002,0.004
622,-0.002,0.02,-0.003,-0.005,-0.002,0.006
623,-0.001,0.018,-0.003,-0.004,-0.002,0.007
624,-0.001,0.011,-0.002,-0.003,-0.002,0.005
625,0.002,0.01,0.0,0.0,-0.001,0.004
626,0.003,0.009,0.001,-0.001,-0.001,0.005
627,0.001,0.01,0.0,-0.002,-0.002,0.006
628,0.0,0.014,-0.001,-0.001,-0.001,0.008
629,-0.003,0.021,-0.004,-0.003,-0.004,0.01
630,-0.002,0.028,-0.005,0.0,-0.004,0.013
631,-0.002,0.029,-0.006,0.002,-0.005,0.015
632,0.0,0.027,-0.004,0.005,-0.002,0.016
633,0.0,0.018,-0.002,0.004,-0.002,0.011
634,0.0,0.012,-0.001,0.001,-0.001,0.009
635,0.001,0.012,0.0,-0.001,-0.001,0.005
636,0.002,0.013,0.0,-0.002,0.0,0.004
637,0.002,0.016,0.001,0.001,0.001,0.007
638,0.001,0.019,0.0,0.004,0.001,0.014
639,0.002,0.03,0.001,0.005,0.002,0.025
640,0.003,0.039,0.003,0.003,0.004,0.031
641,0.005,0.04,0.003,0.003,0.004,0.029
642,0.003,0.03,0.002,0.001,0.0,0.019
643,0.004,0.021,0.002,0.001,0.001,0.015
644,0.006,0.016,0.004,0.001,0.004,0.014
645,0.007,0.013,0.004,0.002,0.006,0.012
646,0.006,0.009,0.003,0.004,0.005,0.007
647,0.002,0.009,0.001,0.006,0.002,0.002
648,0.006,0.017,0.005,0.011,0.006,0.008
